Registration Number,Annual Turnover
20143,30716775
20144,23639103
20145,23000642
20146,29383104
20147,36098398
20148,26854176
20149,27791571
20150,23049366
20151,35794108
20152,17916157
20153,24863493
20154,29305401
20155,38788598
20156,20682397
20157,33112253
20158,38901774
20159,32162246
20160,27410253
20161,35528727
20162,25885437
20163,31500025
20164,40735625
20165,29425455
20166,36676682
20167,16873256
20168,29877983
20169,39973952
20170,24022598
20171,35756388
20172,27530814
20173,26318406
20174,25943376
20175,27848483
20176,35250196
20177,34009696
20178,26534244
20179,16129143
20180,34661551
20181,37413629
20182,34704074
20183,23513197
20184,26722851
20185,21311514
20186,24957085
20187,21278770
20188,22351006
20189,28888912
20190,38623853
20191,21323804
20192,24265796
20193,30751744
20194,26373936
20195,22855678
20196,27288156
20197,26441091
20198,22347013
20199,26321413
20200,40580921
20201,31683544
20202,32433562
20203,18293890
20204,22270709
20205,19647098
20206,35597427
20207,30266610
20208,27395057
20209,28956017
20210,21236041
20211,18109252
20212,31513395
20213,37357038
20214,22395932
20215,21428485
20216,16579826
20217,36020044
20218,36455305
20219,43724467
20220,36210271
20221,25046707
20222,20048233
20223,24400382
20224,26193551
20225,30838540
20226,29471597
20227,36470232
20228,25490589
20229,28487493
20230,28045098
20231,28229356
20232,36753314
20233,40655158
20234,40552771
20235,26362565
20236,27085617
20237,29499016
20238,19927145
20239,19885760
20240,39609177
20241,18739655
20242,25685110
20243,33444296
20244,16313711
20245,30245373
20246,22499677
20247,15987522
20248,29403837
20249,21398979
20250,38162438
20251,38038674
20252,31655971
20253,18559434
20254,37139615
20255,21934184
20256,23023882
20257,18103641
20258,36825787
20259,43917417
20260,23402751
20261,32555021
20262,17407801
20263,34206771
20264,22109843
20265,24217641
20266,21107678
20267,28047038
20268,27661096
20269,23409796
20270,31232474
20271,34863933
20272,31896829
20273,24790989
20274,23472814
20275,32455497
20276,37060379
20277,22834631
20278,29971579
20279,27235112
20280,37486098
20281,25140389
20282,27333558
20283,20766632
20284,22494792
20285,16412461
20286,34550897
20287,23889265
20288,22116382
20289,30638878
20290,34482752
20291,34318145
20292,36232990
20293,25692181
20294,33451285
20295,32465507
20296,25721153
20297,16313525
20298,30231734
20299,32505065
20300,26977810
20301,19289280
20302,26458504
20303,22973594
20304,25677272
20305,25793938
20306,19320313
20307,36202600
20308,16387947
20309,25281933
20310,24172068
20311,28032146
20312,38604791
20313,30739542
20314,20521809
20315,22890681
20316,20783269
20317,17644552
20318,19920437
20319,21118247
20320,20566552
20321,32265903
20322,27344325
20323,26872391
20324,35538745
20325,22446095
20326,36233941
20327,27000138
20328,19207735
20329,16794020
20330,31153356
20331,26410474
20332,38000389
20333,40718472
20334,45739468
20335,30755644
20336,26324164
20337,30888642
20338,24722170
20339,44120849
20340,32833654
20341,30200706
20342,18873483
20343,35598558
20344,19753719
20345,18010271
20346,33755802
20347,38088676
20348,31485116
20349,40271312
20350,24566380
20351,30513733
20352,31089116
20353,38234887
20354,18408887
20355,20512817
20356,21279217
20357,43022822
20358,40127243
20359,29863801
20360,22665358
20361,30534994
20362,25102507
20363,22368490
20364,35789622
20365,16480184
20366,23298065
20367,20421411
20368,25938843
20369,46863068
20370,30347133
20371,37376652
20372,36757156
20373,32391879
20374,18404604
20375,21753898
20376,18599077
20377,31724689
20378,33648703
20379,23779498
20380,25652068
20381,42902038
20382,27341865
20383,29683695
20384,31589282
20385,23225707
20386,24623750
20387,22223796
20388,16432755
20389,28417539
20390,50007543
20391,19305009
20392,45614363
20393,20568717
20394,15265322
20395,22453994
20396,28987698
20397,25624961
20398,32584070
20399,23919317
20400,22591729
20401,24156857
20402,22989622
20403,26307443
20404,21021415
20405,35070872
20406,34204217
20407,21361121
20408,20256567
20409,24288910
20410,23679907
20411,23986709
20412,29969278
20413,25684557
20414,21378107
20415,24421037
20416,29230157
20417,27160968
20418,22258674
20419,17124384
20420,30896582
20421,31133963
20422,33685951
20423,26450107
20424,25968768
20425,21278553
20426,25819989
20427,21133552
20428,33944675
20429,35068467
20430,21214847
20431,30331809
20432,15191780
20433,29958203
20434,21267604
20435,30879635
20436,37116360
20437,35966705
20438,33262309
20439,39920389
20440,22861784
20441,22668634
20442,25124600
20443,27940508
20444,26123624
20445,23684132
20446,18907541
20447,23824133
20448,22253709
20449,40621895
20450,24467078
20451,29920991
20452,21174946
20453,22833959
20454,31617635
20455,47205611
20456,16150975
20457,39238343
20458,30087478
20459,30129925
20460,22506702
20461,40312937
20462,21095942
20463,39736337
20464,25061278
20465,40160144
20466,32336335
20467,19831911
20468,24084435
20469,33825037
20470,24391584
20471,25045752
20472,36512813
20473,41011981
20474,21134139
20475,34165131
20476,11313149
20477,27200899
20478,22680743
20479,40506911
20480,33200524
20481,33297254
20482,37618850
20483,32791003
20484,43099408
20485,22131965
20486,15605415
20487,20002570
20488,30456649
20489,30299722
20490,26184404
20491,30638764
20492,29588093
20493,28367557
20494,27109771
20495,33171700
20496,28619306
20497,26422971
20498,30430460
20499,50500657
20500,27768617
